             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             95355 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95356 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95357 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95358 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95359 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95360 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95361 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95362 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95363 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95364 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95365 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95366 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95367 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95368 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95369 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95370 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95371 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95372 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95373 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95374 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95375 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95376 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95377 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95378 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95379 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95380 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95381 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95382 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95383 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95384 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95385 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95386 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95387 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95388 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95389 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95390 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95391 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95392 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95393 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95394 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95395 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95396 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95397 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95398 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95399 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95400 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95401 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95402 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95403 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95404 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95405 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95406 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95407 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95408 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95409 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95410 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95411 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95412 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95413 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95414 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95415 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95416 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95417 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95418 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95419 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95420 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95421 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95422 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95423 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95424 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95425 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95426 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95427 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95428 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95429 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95430 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95431 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95432 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95433 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95434 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95435 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95436 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95437 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95438 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95439 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95440 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95441 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95442 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95443 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95444 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95445 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95446 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95447 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95448 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95449 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95450 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95451 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95452 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95453 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95454 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95455 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95456 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95457 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95458 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95459 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95460 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95461 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
             95462 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
