             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            160628 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160629 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160630 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160631 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160632 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160633 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160634 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160635 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160636 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160637 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160638 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160639 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160640 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160641 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160642 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160643 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160644 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160645 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160646 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160647 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160648 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160649 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160650 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160651 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160652 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160653 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160654 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160655 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160656 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160657 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160658 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160659 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160660 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160661 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160662 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160663 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160664 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160665 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160666 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160667 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160668 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160669 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160670 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160671 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160672 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160673 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160674 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160675 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160676 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160677 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160678 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160679 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160680 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160681 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160682 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160683 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160684 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160685 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160686 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160687 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160688 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160689 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160690 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160691 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160692 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160693 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160694 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160695 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160696 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160697 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160698 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160699 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160700 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160701 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160702 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160703 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160704 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160705 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160706 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160707 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160708 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160709 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160710 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160711 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160712 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160713 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160714 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160715 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160716 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160717 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160718 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160719 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160720 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160721 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160722 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160723 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160724 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160725 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160726 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160727 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160728 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160729 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160730 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160731 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160732 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160733 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160734 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160735 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160736 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160737 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160738 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160739 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160740 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160741 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160742 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160743 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160744 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160745 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160746 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160747 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160748 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160749 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160750 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160751 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160752 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160753 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160754 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160755 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160756 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160757 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160758 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160759 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160760 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160761 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160762 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160763 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160764 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160765 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160766 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160767 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160768 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160769 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160770 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160771 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160772 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160773 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160774 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160775 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160776 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160777 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160778 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160779 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160780 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160781 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160782 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160783 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160784 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
            160785 slurm_hpc   run.sh   cdroin PD       0:00      1 (Priority)
